graph,n,m,density,avg_degree,max_degree,min_degree,std_degree,degree_skewness,degree_gini,max_over_avg_degree,degeneracy,avg_core,std_core,num_core_levels,frac_in_max_core,degeneracy_over_avg_deg,max_forward_degree,std_forward_degree
gen_tiny_003,6,6,0.4,2.0,3,1,0.5774,0.0,0.1389,1.5,2,1.8333,0.3727,2,0.8333,1.0,2,0.8165
gen_tiny_004,12,33,0.5,5.5,8,3,1.6583,-0.3837,0.1667,1.4545,4,3.75,0.433,2,0.75,0.7273,6,1.7854
gen_tiny_005,7,17,0.80952381,4.8571,6,4,0.833,0.2724,0.0924,1.2353,4,4.0,0.0,1,1.0,0.8235,6,1.9166
gen_tiny_006,7,21,1.0,6.0,6,6,0.0,0.0,0.0,1.0,6,6.0,0.0,1,1.0,1.0,6,2.0
gen_tiny_007,12,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,1,1.0,0.0,0,0.0
gen_tiny_008,12,4,0.06060606,0.6667,2,0,0.6236,0.3818,0.4792,3.0,1,0.5833,0.493,2,0.5833,1.5,1,0.4714
gen_tiny_009,12,7,0.10606061,1.1667,3,0,0.8975,0.3586,0.4167,2.5714,1,0.75,0.433,2,0.75,0.8571,2,0.7592
gen_tiny_010,12,19,0.28787879,3.1667,6,2,1.3437,0.9312,0.2193,1.8947,2,2.0,0.0,1,1.0,0.6316,5,1.3819
gen_tiny_011,5,4,0.4,1.6,2,1,0.4899,-0.4082,0.15,1.25,1,1.0,0.0,1,1.0,0.625,1,0.4
gen_tiny_012,7,18,0.85714286,5.1429,6,4,0.833,-0.2724,0.0873,1.1667,4,4.0,0.0,1,1.0,0.7778,6,1.8406
gen_tiny_013,8,26,0.92857143,6.5,7,5,0.7071,-1.0607,0.0529,1.0769,6,5.875,0.3307,2,0.875,0.9231,6,1.9843
gen_tiny_014,8,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,1,1.0,0.0,0,0.0
gen_tiny_015,12,2,0.03030303,0.3333,1,0,0.4714,0.7071,0.6667,3.0,1,0.3333,0.4714,2,0.3333,3.0,1,0.3727
gen_tiny_016,6,3,0.2,1.0,2,0,0.5774,0.0,0.2778,2.0,1,0.8333,0.3727,2,0.8333,1.0,1,0.5
gen_tiny_017,6,4,0.26666667,1.3333,3,0,1.1055,0.0548,0.4583,2.25,2,1.1667,0.8975,3,0.5,1.5,2,0.7454
gen_tiny_018,11,25,0.45454545,4.5455,6,3,0.782,-0.1508,0.0909,1.32,3,3.0,0.0,1,1.0,0.66,5,1.7628
gen_tiny_019,12,48,0.72727273,8.0,9,7,0.7071,0.0,0.0469,1.125,7,7.0,0.0,1,1.0,0.875,9,2.8868
gen_tiny_020,11,53,0.96363636,9.6364,10,8,0.6428,-1.5443,0.0292,1.0377,9,8.9091,0.2875,2,0.9091,0.934,9,2.9176
gen_tiny_021,7,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,1,1.0,0.0,0,0.0
gen_tiny_022,5,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,1,1.0,0.0,0,0.0
gen_tiny_023,7,1,0.04761905,0.2857,1,0,0.4518,0.9487,0.7143,3.5,1,0.2857,0.4518,2,0.2857,3.5,1,0.3499
gen_tiny_024,10,12,0.26666667,2.4,6,1,1.3565,1.6539,0.2667,2.5,2,1.7,0.4583,2,0.7,0.8333,2,0.6
gen_tiny_025,11,25,0.45454545,4.5455,6,2,1.3727,-0.4113,0.1673,1.32,4,3.6364,0.6428,3,0.7273,0.88,4,1.1355
gen_tiny_026,11,44,0.8,8.0,9,7,0.7385,0.0,0.0496,1.125,7,7.0,0.0,1,1.0,0.875,9,2.6968
gen_tiny_027,9,34,0.94444444,7.5556,8,6,0.6849,-1.238,0.0425,1.0588,7,6.8889,0.3143,2,0.8889,0.9265,7,2.2987
gen_tiny_028,6,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,1,1.0,0.0,0,0.0
gen_tiny_029,7,1,0.04761905,0.2857,1,0,0.4518,0.9487,0.7143,3.5,1,0.2857,0.4518,2,0.2857,3.5,1,0.3499
